거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
1,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.00391,270.938758,-10557.12,-2.63,3633.25,0.91,-20914.04,-5.20,-12756.81,-0.26
1,매수 진입,2026-02-10 12:30,ICE_L_1310,69293.8,0.00391,270.938758,-10557.12,-2.63,3633.25,0.91,-20914.04,-5.20,-12756.81,-0.26
2,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003915,270.959499,-10087.32,-2.51,4118.91,1.03,-20457.49,-5.09,-22644.17,-0.45
2,매수 진입,2026-02-10 12:31,ICE_L_1453,69210.6,0.003915,270.959499,-10087.32,-2.51,4118.91,1.03,-20457.49,-5.09,-22644.17,-0.45
3,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003947,270.9793115,-6913.08,-1.72,7393.91,1.85,-17368.01,-4.32,-29357.26,-0.59
3,매수 진입,2026-02-10 15:48,ICE_L_1649,68654.5,0.003947,270.9793115,-6913.08,-1.72,7393.91,1.85,-17368.01,-4.32,-29357.26,-0.59
4,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003975,270.9395775,-4050.94,-1.01,10343.81,2.59,-14580.03,-3.63,-33208.25,-0.66
4,매수 진입,2026-02-10 23:40,ICE_L_1642,68160.9,0.003975,270.9395775,-4050.94,-1.01,10343.81,2.59,-14580.03,-3.63,-33208.25,-0.66
5,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003962,269.67353,-3474.88,-0.87,4118.64,1.03,-13969.54,-3.49,-36483.16,-0.73
5,매수 진입,2026-02-11 12:19,ICE_L_2670,68065,0.003962,269.67353,-3474.88,-0.87,4118.64,1.03,-13969.54,-3.49,-36483.16,-0.73
6,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003975,269.663205,-2158.08,-0.54,5460.35,1.36,-12687.17,-3.17,-38441.28,-0.77
6,매수 진입,2026-02-11 13:23,ICE_L_843,67839.8,0.003975,269.663205,-2158.08,-0.54,5460.35,1.36,-12687.17,-3.17,-38441.28,-0.77
7,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003988,269.6869048,-891.76,-0.22,6751.58,1.69,-11455.29,-2.86,-39133.07,-0.78
7,매수 진입,2026-02-11 13:28,ICE_L_644,67624.6,0.003988,269.6869048,-891.76,-0.22,6751.58,1.69,-11455.29,-2.86,-39133.07,-0.78
8,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003993,269.6640606,-357.3,-0.09,7295.63,1.82,-10934.07,-2.73,-39290.41,-0.79
8,매수 진입,2026-02-11 13:29,ICE_L_2570,67534.2,0.003993,269.6640606,-357.3,-0.09,7295.63,1.82,-10934.07,-2.73,-39290.41,-0.79
9,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.003996,269.7204096,-140.56,-0.04,7518.11,1.88,-10725.29,-2.68,-39230.98,-0.78
9,매수 진입,2026-02-11 13:32,ICE_L_856,67497.6,0.003996,269.7204096,-140.56,-0.04,7518.11,1.88,-10725.29,-2.68,-39230.98,-0.78
10,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.004008,269.6987208,1092.98,0.27,8774.66,2.19,-9523.53,-2.38,-37938.01,-0.76
10,매수 진입,2026-02-11 15:07,ICE_L_2557,67290.1,0.004008,269.6987208,1092.98,0.27,8774.66,2.19,-9523.53,-2.38,-37938.01,-0.76
11,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.004012,269.7231492,1457.19,0.36,9146.54,2.29,-9169.91,-2.29,-36280.82,-0.73
11,매수 진입,2026-02-11 15:07,ICE_L_2745,67229.1,0.004012,269.7231492,1457.19,0.36,9146.54,2.29,-9169.91,-2.29,-36280.82,-0.73
12,매수 청산,2026-02-12 04:07,ICE_S_4019,67541.4,0.004092,269.6795772,9530.95,2.38,9735.88,2.43,-1308.06,-0.33,-26549.9,-0.53
12,매수 진입,2026-02-12 00:08,ICE_L_3155,65904.1,0.004092,269.6795772,9530.95,2.38,9735.88,2.43,-1308.06,-0.33,-26549.9,-0.53
13,매도 청산,2026-02-13 02:55,ICE_L_4299,65438.7,0.003993,269.6928102,12016.33,3.01,12209.43,3.06,-5208.12,-1.31,-14533.57,-0.29
13,매도 진입,2026-02-12 04:07,ICE_S_4019,67541.4,0.003993,269.6928102,12016.33,3.01,12209.43,3.06,-5208.12,-1.31,-14533.57,-0.29
14,매수 청산,2026-02-13 18:12,ICE_S_5500,66798.7,0.004135,270.5890245,7852.74,1.98,8055.48,2.03,-2392.17,-0.60,-6680.83,-0.13
14,매수 진입,2026-02-13 02:55,ICE_L_4299,65438.7,0.004135,270.5890245,7852.74,1.98,8055.48,2.03,-2392.17,-0.60,-6680.83,-0.13
15,매도 청산,2026-02-15 22:45,ICE_L_8194,68813.4,0.004079,272.4718973,-12511.78,-3.12,973.05,0.24,-25016.35,-6.23,-20192.52,-0.40
15,매도 진입,2026-02-13 18:12,ICE_S_5500,66798.7,0.004079,272.4718973,-12511.78,-3.12,973.05,0.24,-25016.35,-6.23,-20192.52,-0.40
16,매도 청산,2026-02-15 22:45,ICE_L_8194,68813.4,0.004068,272.4575544,-11417.35,-2.84,1135.91,0.28,-23888.21,-5.95,-31409.89,-0.63
16,매도 진입,2026-02-13 18:47,ICE_S_6196,66975.8,0.004068,272.4575544,-11417.35,-2.84,1135.91,0.28,-23888.21,-5.95,-31409.89,-0.63
17,매도 청산,2026-02-15 22:45,ICE_L_8194,68813.4,0.004067,272.4288084,-11358.26,-2.83,1191.73,0.30,-23826.05,-5.93,-42568.19,-0.85
17,매도 진입,2026-02-13 18:47,ICE_S_5705,66985.2,0.004067,272.4288084,-11358.26,-2.83,1191.73,0.30,-23826.05,-5.93,-42568.19,-0.85
18,매도 청산,2026-02-15 22:45,ICE_L_8194,68813.4,0.003953,272.4727793,267.53,0.07,3199.99,0.80,-11850.77,-2.95,-42100.66,-0.84
18,매도 진입,2026-02-14 00:30,ICE_S_4180,68928.1,0.003953,272.4727793,267.53,0.07,3199.99,0.80,-11850.77,-2.95,-42100.66,-0.84
19,매도 청산,2026-02-15 22:45,ICE_L_8194,68813.4,0.003944,272.4420544,1135.01,0.28,4057.84,1.01,-10955.7,-2.73,-40765.68,-0.82
19,매도 진입,2026-02-14 00:32,ICE_S_5013,69077.6,0.003944,272.4420544,1135.01,0.28,4057.84,1.01,-10955.7,-2.73,-40765.68,-0.82
20,매도 청산,2026-02-15 22:45,ICE_L_8194,68813.4,0.003829,271.5519142,11486.29,2.87,11680.35,2.92,-251.89,-0.06,-29079.39,-0.58
20,매도 진입,2026-02-15 17:06,ICE_S_9038,70919.8,0.003829,271.5519142,11486.29,2.87,11680.35,2.92,-251.89,-0.06,-29079.39,-0.58
21,매수 청산,2026-02-16 18:36,ICE_S_10353,68990.8,0.003946,271.5376764,636.84,0.16,2211.02,0.55,-4716.27,-1.18,-29042.5,-0.58
21,매수 진입,2026-02-15 22:45,ICE_L_8194,68813.4,0.003946,271.5376764,636.84,0.16,2211.02,0.55,-4716.27,-1.18,-29042.5,-0.58
22,매수 청산,2026-02-16 18:36,ICE_S_10353,68990.8,0.003964,271.5169548,2509.57,0.62,3065.45,0.76,-2881.81,-0.72,-26332.96,-0.53
22,매수 진입,2026-02-16 02:45,ICE_L_9468,68495.7,0.003964,271.5169548,2509.57,0.62,3065.45,0.76,-2881.81,-0.72,-26332.96,-0.53
23,매수 청산,2026-02-16 18:36,ICE_S_10353,68990.8,0.003965,271.550955,2561.42,0.64,3117.44,0.78,-2831.7,-0.71,-23571.54,-0.47
23,매수 진입,2026-02-16 02:45,ICE_L_8001,68487,0.003965,271.550955,2561.42,0.64,3117.44,0.78,-2831.7,-0.71,-23571.54,-0.47
24,매수 청산,2026-02-16 18:36,ICE_S_10353,68990.8,0.003988,271.5301584,4945.91,1.23,5505.16,1.37,-496.05,-0.12,-18425.65,-0.37
24,매수 진입,2026-02-16 04:06,ICE_L_7986,68086.8,0.003988,271.5301584,4945.91,1.23,5505.16,1.37,-496.05,-0.12,-18425.65,-0.37
25,매도 청산,2026-02-17 00:31,ICE_L_10422,67766.4,0.003906,269.4780648,6700.88,1.67,6897.29,1.72,-6565.09,-1.64,-12124.7,-0.24
25,매도 진입,2026-02-16 18:36,ICE_S_10353,68990.8,0.003906,269.4780648,6700.88,1.67,6897.29,1.72,-6565.09,-1.64,-12124.7,-0.24
26,매도 청산,2026-02-17 00:31,ICE_L_10422,67766.4,0.003897,269.4904101,7624.73,1.91,7820.69,1.95,-5610.68,-1.40,-4300.01,-0.09
26,매도 진입,2026-02-16 21:26,ICE_S_10378,69153.3,0.003897,269.4904101,7624.73,1.91,7820.69,1.95,-5610.68,-1.40,-4300.01,-0.09
27,매도 청산,2026-02-17 00:31,ICE_L_10422,67766.4,0.003877,269.5088796,9664.44,2.42,9859.39,2.46,-3503.04,-0.88,5564.41,0.11
27,매도 진입,2026-02-16 21:28,ICE_S_10807,69514.8,0.003877,269.5088796,9664.44,2.42,9859.39,2.46,-3503.04,-0.88,5564.41,0.11
28,매수 청산,2026-02-17 05:59,ICE_S_11325,68534.6,0.003977,269.5069728,4131.6,1.03,4333.84,1.08,-3322.06,-0.83,7923.45,0.16
28,매수 진입,2026-02-17 00:31,ICE_L_10422,67766.4,0.003977,269.5069728,4131.6,1.03,4333.84,1.08,-3322.06,-0.83,7923.45,0.16
29,매수 청산,2026-02-17 05:59,ICE_S_11325,68534.6,0.015661,1060.2497,17813.77,1.13,18610.17,1.18,-11537.96,-0.73,26523.92,0.53
29,매수 진입,2026-02-17 00:31,ICE_L_10295,67700,0.015661,1060.2497,17813.77,1.13,18610.17,1.18,-11537.96,-0.73,26523.92,0.53
30,매수 청산,2026-02-17 05:59,ICE_S_11325,68534.6,0.015666,1059.134395,19977.98,1.27,20774.64,1.32,-9383.11,-0.60,47287.78,0.95
30,매수 진입,2026-02-17 00:31,ICE_L_10409,67607.2,0.015666,1059.134395,19977.98,1.27,20774.64,1.32,-9383.11,-0.60,47287.78,0.95
31,매수 청산,2026-02-17 05:59,ICE_S_11325,68534.6,0.004007,269.5048095,7184.45,1.80,7388.21,1.85,-325.44,-0.08,54672.2,1.09
31,매수 진입,2026-02-17 00:36,ICE_L_10915,67258.5,0.004007,269.5048095,7184.45,1.80,7388.21,1.85,-325.44,-0.08,54672.2,1.09
32,매도 청산,2026-02-17 14:20,ICE_L_11714,68114,0.003932,269.4780472,2051,0.51,2249.32,0.56,-4285.57,-1.07,56523.21,1.13
32,매도 진입,2026-02-17 05:59,ICE_S_11325,68534.6,0.003932,269.4780472,2051,0.51,2249.32,0.56,-4285.57,-1.07,56523.21,1.13
33,매도 청산,2026-02-17 14:20,ICE_L_11714,68114,0.003903,270.0751104,5862.1,1.46,6058.97,1.51,-427.74,-0.11,62585.31,1.25
33,매도 진입,2026-02-17 11:12,ICE_S_11342,69196.8,0.003903,270.0751104,5862.1,1.46,6058.97,1.51,-427.74,-0.11,62585.31,1.25
34,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.003965,270.07201,-2477.1,-0.62,1992.09,0.50,-9290.1,-2.32,59108.32,1.18
34,매수 진입,2026-02-17 14:20,ICE_L_11714,68114,0.003965,270.07201,-2477.1,-0.62,1992.09,0.50,-9290.1,-2.32,59108.32,1.18
35,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004016,270.0494944,2671.69,0.67,2873.2,0.72,-4228.94,-1.06,61979.99,1.24
35,매수 진입,2026-02-17 23:42,ICE_L_12158,67243.4,0.004016,270.0494944,2671.69,0.67,2873.2,0.72,-4228.94,-1.06,61979.99,1.24
36,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004024,270.0607,3457.51,0.86,3659.42,0.91,-3456.87,-0.86,65637.48,1.31
36,매수 진입,2026-02-17 23:42,ICE_L_10765,67112.5,0.004024,270.0607,3457.51,0.86,3659.42,0.91,-3456.87,-0.86,65637.48,1.31
37,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004027,270.0780036,3732.78,0.93,3934.84,0.98,-3186.76,-0.80,69570.25,1.39
37,매수 진입,2026-02-17 23:43,ICE_L_11859,67066.8,0.004027,270.0780036,3732.78,0.93,3934.84,0.98,-3186.76,-0.80,69570.25,1.39
38,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004031,270.0338683,4199.39,1.05,4401.65,1.10,-2727.02,-0.68,73969.59,1.48
38,매수 진입,2026-02-17 23:43,ICE_L_12308,66989.3,0.004031,270.0338683,4199.39,1.05,4401.65,1.10,-2727.02,-0.68,73969.59,1.48
39,매수 청산,2026-02-18 01:02,ICE_S_12478,67760.1,0.004048,270.0635344,5860.57,1.46,6063.69,1.52,-1095.05,-0.27,80030.15,1.60
39,매수 진입,2026-02-17 23:50,ICE_L_11025,66715.3,0.004048,270.0635344,5860.57,1.46,6063.69,1.52,-1095.05,-0.27,80030.15,1.60
40,매도 청산,2026-02-18 19:43,ICE_L_13593,67769.9,0.003985,270.0239985,-457.6,-0.11,5196.64,1.30,-4192.17,-1.05,79572.55,1.59
40,매도 진입,2026-02-18 01:02,ICE_S_12478,67760.1,0.003985,270.0239985,-457.6,-0.11,5196.64,1.30,-4192.17,-1.05,79572.55,1.59
41,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.003988,270.2663612,-1340.02,-0.34,3078.11,0.77,-13041.88,-3.25,77232.7,1.54
41,매수 진입,2026-02-18 19:43,ICE_L_13593,67769.9,0.003988,270.2663612,-1340.02,-0.34,3078.11,0.77,-13041.88,-3.25,77232.7,1.54
42,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004046,270.2339584,4488.94,1.13,8991.13,2.25,-7347.45,-1.83,81921.61,1.64
42,매수 진입,2026-02-18 23:48,ICE_L_13016,66790.4,0.004046,270.2339584,4488.94,1.13,8991.13,2.25,-7347.45,-1.83,81921.61,1.64
43,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004062,270.220488,6103.61,1.53,6306.15,1.58,-5769.84,-1.44,88225.19,1.76
43,매수 진입,2026-02-19 03:42,ICE_L_13798,66524,0.004062,270.220488,6103.61,1.53,6306.15,1.58,-5769.84,-1.44,88225.19,1.76
44,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004091,269.5011706,10055.17,2.53,10259.15,2.58,-1879.22,-0.47,98480.32,1.97
44,매수 진입,2026-02-19 22:45,ICE_L_15009,65876.6,0.004091,269.5011706,10055.17,2.53,10259.15,2.58,-1879.22,-0.47,98480.32,1.97
45,매수 청산,2026-02-20 14:32,ICE_S_15531,67609.9,0.004091,269.4774428,10090.18,2.54,10294.17,2.59,-1843.99,-0.46,108770.45,2.18
45,매수 진입,2026-02-19 22:45,ICE_L_15117,65870.8,0.004091,269.4774428,10090.18,2.54,10294.17,2.59,-1843.99,-0.46,108770.45,2.18
