거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
1,매수 청산,2026-02-16 13:30:00,ICE_S_501,68798,0.00395,269.516005,2916.74,0.73,3118.38,0.78,-838.92,-0.21,2916.74,0.06
1,매수 진입,2026-02-16 11:55:30,ICE_L_178,68231.9,0.00395,269.516005,2916.74,0.73,3118.38,0.78,-838.92,-0.21,2916.74,0.06
2,매도 청산,2026-02-16 22:39:00,ICE_L_1255,68252.5,0.003917,269.481766,2772.57,0.69,3276.12,0.82,-7703.74,-1.93,4889.37,0.10
2,매도 진입,2026-02-16 13:30:00,ICE_S_501,68798,0.003917,269.481766,2772.57,0.69,3276.12,0.82,-7703.74,-1.93,4889.37,0.10
3,매도 청산,2026-02-16 22:39:00,ICE_L_1255,68252.5,0.003899,269.5347508,4675.23,1.17,4872.69,1.22,-5752.93,-1.44,9764.6,0.20
3,매도 진입,2026-02-16 21:26:00,ICE_S_30,69129.2,0.003899,269.5347508,4675.23,1.17,4872.69,1.22,-5752.93,-1.44,9764.6,0.20
4,매도 청산,2026-02-16 22:39:00,ICE_L_1255,68252.5,0.003898,269.4971954,4720.87,1.18,4918.28,1.23,-5704.62,-1.43,14685.44,0.29
4,매도 진입,2026-02-16 21:26:00,ICE_S_593,69137.3,0.003898,269.4971954,4720.87,1.18,4918.28,1.23,-5704.62,-1.43,14685.44,0.29
5,매도 청산,2026-02-16 22:39:00,ICE_L_1255,68252.5,0.003892,269.5245028,5369.4,1.34,5566.5,1.39,-5040.05,-1.26,20254.82,0.41
5,매도 진입,2026-02-16 21:26:00,ICE_S_1461,69250.9,0.003892,269.5245028,5369.4,1.34,5566.5,1.39,-5040.05,-1.26,20254.82,0.41
6,매도 청산,2026-02-16 22:39:00,ICE_L_1255,68252.5,0.003888,269.5356,5791.21,1.45,5988.11,1.50,-4607.54,-1.15,26246.02,0.52
6,매도 진입,2026-02-16 21:26:00,ICE_S_37,69325,0.003888,269.5356,5791.21,1.45,5988.11,1.50,-4607.54,-1.15,26246.02,0.52
7,매수 청산,2026-02-17 03:21:00,ICE_S_2123,68148.3,0.003949,269.5291225,-1010.32,-0.25,2336.94,0.58,-6148.8,-1.54,24635.77,0.49
7,매수 진입,2026-02-16 22:39:00,ICE_L_1255,68252.5,0.003949,269.5291225,-1010.32,-0.25,2336.94,0.58,-6148.8,-1.54,24635.77,0.49
8,매수 청산,2026-02-17 03:21:00,ICE_S_2123,68148.3,0.003971,269.4895324,1272.25,0.32,1473.05,0.37,-3894.85,-0.97,26107.99,0.52
8,매수 진입,2026-02-17 00:31:00,ICE_L_1842,67864.4,0.003971,269.4895324,1272.25,0.32,1473.05,0.37,-3894.85,-0.97,26107.99,0.52
9,매수 청산,2026-02-17 03:21:00,ICE_S_2123,68148.3,0.003979,269.49767,2068.82,0.52,2270.03,0.57,-3108.69,-0.78,28376.78,0.57
9,매수 진입,2026-02-17 00:31:00,ICE_L_427,67730,0.003979,269.49767,2068.82,0.52,2270.03,0.57,-3108.69,-0.78,28376.78,0.57
10,매수 청산,2026-02-17 03:21:00,ICE_S_2123,68148.3,0.004008,269.5388016,4939.12,1.23,5141.79,1.28,-276.13,-0.07,33515.89,0.67
10,매수 진입,2026-02-17 00:42:00,ICE_L_1633,67250.2,0.004008,269.5388016,4939.12,1.23,5141.79,1.28,-276.13,-0.07,33515.89,0.67
11,매도 청산,2026-02-17 13:32:00,ICE_L_3265,68274.9,0.003955,269.5265265,-1141.48,-0.29,1954.02,0.49,-6572.2,-1.65,31574.51,0.63
11,매도 진입,2026-02-17 03:21:00,ICE_S_2123,68148.3,0.003955,269.5265265,-1141.48,-0.29,1954.02,0.49,-6572.2,-1.65,31574.51,0.63
12,매도 청산,2026-02-17 13:32:00,ICE_L_3265,68274.9,0.003944,269.5341432,-17.39,0.00,182.01,0.05,-5433,-1.36,31757.12,0.64
12,매도 진입,2026-02-17 05:52:00,ICE_S_2110,68340.3,0.003944,269.5341432,-17.39,0.00,182.01,0.05,-5433,-1.36,31757.12,0.64
13,매도 청산,2026-02-17 13:32:00,ICE_L_3265,68274.9,0.003932,269.4780472,1113.56,0.28,1312.36,0.33,-4285.57,-1.07,33070.64,0.66
13,매도 진입,2026-02-17 05:59:00,ICE_S_2488,68534.6,0.003932,269.4780472,1113.56,0.28,1312.36,0.33,-4285.57,-1.07,33070.64,0.66
14,매도 청산,2026-02-17 13:32:00,ICE_L_3265,68274.9,0.003904,270.0759872,4831.71,1.21,5029.09,1.26,-528.98,-0.13,38102.34,0.76
14,매도 진입,2026-02-17 11:12:30,ICE_S_2866,69179.3,0.003904,270.0759872,4831.71,1.21,5029.09,1.26,-528.98,-0.13,38102.34,0.76
15,매도 청산,2026-02-17 13:32:00,ICE_L_3265,68274.9,0.003901,270.0299507,5067.06,1.27,5264.29,1.32,-289.51,-0.07,43369.36,0.87
15,매도 진입,2026-02-17 11:12:30,ICE_S_2873,69220.7,0.003901,270.0299507,5067.06,1.27,5264.29,1.32,-289.51,-0.07,43369.36,0.87
16,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.003955,270.0272295,-3159.69,-0.79,1044.15,0.26,-10209.59,-2.55,38209.9,0.76
16,매수 진입,2026-02-17 13:32:00,ICE_L_3265,68274.9,0.003955,270.0272295,-3159.69,-0.79,1044.15,0.26,-10209.59,-2.55,38209.9,0.76
17,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.00397,270.043767,-1678.69,-0.42,1633.87,0.41,-8755.33,-2.19,36731.18,0.73
17,매수 진입,2026-02-17 18:18:00,ICE_L_3786,68021.1,0.00397,270.043767,-1678.69,-0.42,1633.87,0.41,-8755.33,-2.19,36731.18,0.73
18,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.003996,270.057672,910.24,0.23,1110.88,0.28,-6212.74,-1.55,37841.4,0.76
18,매수 진입,2026-02-17 23:38:30,ICE_L_2415,67582,0.003996,270.057672,910.24,0.23,1110.88,0.28,-6212.74,-1.55,37841.4,0.76
19,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.003999,270.0236772,1261.71,0.32,1462.5,0.37,-5866.62,-1.47,39303.07,0.79
19,매수 진입,2026-02-17 23:38:30,ICE_L_4625,67522.8,0.003999,270.0236772,1261.71,0.32,1462.5,0.37,-5866.62,-1.47,39303.07,0.79
20,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004,270.0328,1348.56,0.34,1549.4,0.39,-5781.55,-1.44,40851.59,0.82
20,매수 진입,2026-02-17 23:38:30,ICE_L_4001,67508.2,0.004,270.0328,1348.56,0.34,1549.4,0.39,-5781.55,-1.44,40851.59,0.82
21,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004012,270.0541392,2521.35,0.63,2722.78,0.68,-4630.16,-1.16,43572.91,0.87
21,매수 진입,2026-02-17 23:41:00,ICE_L_4440,67311.6,0.004012,270.0541392,2521.35,0.63,2722.78,0.68,-4630.16,-1.16,43572.91,0.87
22,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004018,270.0590214,3116.31,0.78,3318.05,0.83,-4045.89,-1.01,46889.21,0.94
22,매수 진입,2026-02-17 23:42:30,ICE_L_4449,67212.3,0.004018,270.0590214,3116.31,0.78,3318.05,0.83,-4045.89,-1.01,46889.21,0.94
23,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004028,270.0564544,4123.78,1.03,4326.02,1.08,-3056.24,-0.76,51212.97,1.02
23,매수 진입,2026-02-17 23:43:30,ICE_L_2077,67044.8,0.004028,270.0564544,4123.78,1.03,4326.02,1.08,-3056.24,-0.76,51212.97,1.02
24,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004029,270.0856266,4180.93,1.04,4383.22,1.10,-3000.88,-0.75,55593.89,1.11
24,매수 진입,2026-02-17 23:43:30,ICE_L_3555,67035.4,0.004029,270.0856266,4180.93,1.04,4383.22,1.10,-3000.88,-0.75,55593.89,1.11
25,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004033,270.0718615,4602.79,1.15,4805.28,1.20,-2586.15,-0.65,60396.67,1.21
25,매수 진입,2026-02-17 23:43:30,ICE_L_4121,66965.5,0.004033,270.0718615,4602.79,1.15,4805.28,1.20,-2586.15,-0.65,60396.67,1.21
26,매수 청산,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.004048,270.084584,6089.44,1.52,6292.68,1.57,-1126.24,-0.28,66686.1,1.33
26,매수 진입,2026-02-17 23:50:30,ICE_L_1887,66720.5,0.004048,270.084584,6089.44,1.52,6292.68,1.57,-1126.24,-0.28,66686.1,1.33
27,매도 청산,2026-02-18 10:03:30,ICE_L_5465,67231.4,0.003983,270.0613405,2974.3,0.74,5449.91,1.36,-2615.55,-0.65,69660.4,1.39
27,매도 진입,2026-02-18 01:02:00,ICE_S_4794,67803.5,0.003983,270.0613405,2974.3,0.74,5449.91,1.36,-2615.55,-0.65,69660.4,1.39
28,매수 청산,2026-02-18 13:54:30,ICE_S_6199,67862.7,0.00402,270.270228,3354.1,0.84,3555.98,0.89,-2409.68,-0.60,72814.52,1.46
28,매수 진입,2026-02-18 10:03:30,ICE_L_5465,67231.4,0.00402,270.270228,3354.1,0.84,3555.98,0.89,-2409.68,-0.60,72814.52,1.46
29,매수 청산,2026-02-18 13:54:30,ICE_S_6199,67862.7,0.004023,270.2494503,3686.03,0.92,3888.06,0.97,-2082.06,-0.52,76700.54,1.53
29,매수 진입,2026-02-18 10:04:30,ICE_L_5865,67176.1,0.004023,270.2494503,3686.03,0.92,3888.06,0.97,-2082.06,-0.52,76700.54,1.53
30,매도 청산,2026-02-18 19:43:00,ICE_L_6972,67823.8,0.003982,270.2292714,-170.57,-0.04,1576.29,0.39,-3584.53,-0.90,75526.1,1.51
30,매도 진입,2026-02-18 13:54:30,ICE_S_6199,67862.7,0.003982,270.2292714,-170.57,-0.04,1576.29,0.39,-3584.53,-0.90,75526.1,1.51
31,매도 청산,2026-02-18 19:43:00,ICE_L_6972,67823.8,0.012025,816.1114975,-422.6,-0.03,4852.64,0.40,-10732.19,-0.89,75707.42,1.51
31,매도 진입,2026-02-18 13:54:30,ICE_S_5588,67867.9,0.012025,816.1114975,-422.6,-0.03,4852.64,0.40,-10732.19,-0.89,75707.42,1.51
32,매도 청산,2026-02-18 19:43:00,ICE_L_6972,67823.8,0.003975,270.251505,565.32,0.14,764.83,0.19,-2842.63,-0.71,76472.73,1.53
32,매도 진입,2026-02-18 16:43:30,ICE_S_6405,67987.8,0.003975,270.251505,565.32,0.14,764.83,0.19,-2842.63,-0.71,76472.73,1.53
33,매도 청산,2026-02-18 19:43:00,ICE_L_6972,67823.8,0.003961,270.2043682,1901.61,0.48,2100.41,0.52,-1494.34,-0.37,78574.29,1.57
33,매도 진입,2026-02-18 17:11:30,ICE_S_6539,68216.2,0.003961,270.2043682,1901.61,0.48,2100.41,0.52,-1494.34,-0.37,78574.29,1.57
34,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.003984,270.2100192,-8265.14,-2.06,2757.05,0.69,-11976.09,-2.99,68109.49,1.36
34,매수 진입,2026-02-18 19:43:00,ICE_L_6972,67823.8,0.003984,270.2100192,-8265.14,-2.06,2757.05,0.69,-11976.09,-2.99,68109.49,1.36
35,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.003989,270.2443786,-7823.02,-1.95,3211.78,0.80,-11539.85,-2.88,60486.45,1.21
35,매수 진입,2026-02-18 19:44:00,ICE_L_7013,67747.4,0.003989,270.2443786,-7823.02,-1.95,3211.78,0.80,-11539.85,-2.88,60486.45,1.21
36,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004008,270.2229672,-5917.34,-1.47,5164.79,1.29,-9657.1,-2.41,54769.08,1.10
36,매수 진입,2026-02-18 20:08:00,ICE_L_6628,67420.9,0.004008,270.2229672,-5917.34,-1.47,5164.79,1.29,-9657.1,-2.41,54769.08,1.10
37,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004014,270.2236842,-5326.64,-1.33,5770.46,1.44,-9073.62,-2.27,49642.41,0.99
37,매수 진입,2026-02-18 20:08:30,ICE_L_6456,67320.3,0.004014,270.2236842,-5326.64,-1.33,5770.46,1.44,-9073.62,-2.27,49642.41,0.99
38,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004029,270.2439663,-3877.37,-0.97,7257.25,1.81,-7642.3,-1.91,45965.02,0.92
38,매수 진입,2026-02-18 20:10:30,ICE_L_6431,67074.7,0.004029,270.2439663,-3877.37,-0.97,7257.25,1.81,-7642.3,-1.91,45965.02,0.92
39,매수 청산,2026-02-19 09:07:00,ICE_S_8333,66492.9,0.004036,270.2594392,-3209.96,-0.80,7942.19,1.98,-6983.25,-1.75,42955.06,0.86
39,매수 진입,2026-02-18 23:35:30,ICE_L_7404,66962.2,0.004036,270.2594392,-3209.96,-0.80,7942.19,1.98,-6983.25,-1.75,42955.06,0.86
