거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
1,매수 청산,2026-02-18 13:54:30,ICE_S_439,67862.7,0.004023,270.2494503,3686.03,0.92,3888.06,0.97,-2082.06,-0.52,3686.03,0.07
1,매수 진입,2026-02-18 10:04:30,ICE_L_105,67176.1,0.004023,270.2494503,3686.03,0.92,3888.06,0.97,-2082.06,-0.52,3686.03,0.07
2,매도 청산,2026-02-18 19:43:00,ICE_L_1212,67823.8,0.003982,270.2292714,-170.57,-0.04,1576.29,0.39,-3584.53,-0.90,3115.52,0.06
2,매도 진입,2026-02-18 13:54:30,ICE_S_439,67862.7,0.003982,270.2292714,-170.57,-0.04,1576.29,0.39,-3584.53,-0.90,3115.52,0.06
3,매도 청산,2026-02-18 19:43:00,ICE_L_1212,67823.8,0.003975,270.251505,565.32,0.14,764.83,0.19,-2842.63,-0.71,3880.83,0.08
3,매도 진입,2026-02-18 16:43:30,ICE_S_645,67987.8,0.003975,270.251505,565.32,0.14,764.83,0.19,-2842.63,-0.71,3880.83,0.08
4,매도 청산,2026-02-18 19:43:00,ICE_L_1212,67823.8,0.003961,270.2043682,1901.61,0.48,2100.41,0.52,-1494.34,-0.37,5982.39,0.12
4,매도 진입,2026-02-18 17:11:30,ICE_S_779,68216.2,0.003961,270.2043682,1901.61,0.48,2100.41,0.52,-1494.34,-0.37,5982.39,0.12
5,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.003984,270.2100192,-8265.14,-2.06,2757.05,0.69,-11976.09,-2.99,-4282.44,-0.09
5,매수 진입,2026-02-18 19:43:00,ICE_L_1212,67823.8,0.003984,270.2100192,-8265.14,-2.06,2757.05,0.69,-11976.09,-2.99,-4282.44,-0.09
6,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.003989,270.2443786,-7823.02,-1.95,3211.78,0.80,-11539.85,-2.88,-11905.48,-0.24
6,매수 진입,2026-02-18 19:44:00,ICE_L_1253,67747.4,0.003989,270.2443786,-7823.02,-1.95,3211.78,0.80,-11539.85,-2.88,-11905.48,-0.24
7,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004008,270.2229672,-5917.34,-1.47,5164.79,1.29,-9657.1,-2.41,-17622.85,-0.35
7,매수 진입,2026-02-18 20:08:00,ICE_L_868,67420.9,0.004008,270.2229672,-5917.34,-1.47,5164.79,1.29,-9657.1,-2.41,-17622.85,-0.35
8,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004014,270.2236842,-5326.64,-1.33,5770.46,1.44,-9073.62,-2.27,-22749.53,-0.45
8,매수 진입,2026-02-18 20:08:30,ICE_L_696,67320.3,0.004014,270.2236842,-5326.64,-1.33,5770.46,1.44,-9073.62,-2.27,-22749.53,-0.45
9,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004029,270.2439663,-3877.37,-0.97,7257.25,1.81,-7642.3,-1.91,-26426.92,-0.53
9,매수 진입,2026-02-18 20:10:30,ICE_L_671,67074.7,0.004029,270.2439663,-3877.37,-0.97,7257.25,1.81,-7642.3,-1.91,-26426.92,-0.53
10,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004036,270.2594392,-3209.96,-0.80,7942.19,1.98,-6983.25,-1.75,-29436.88,-0.59
10,매수 진입,2026-02-18 23:35:30,ICE_L_1644,66962.2,0.004036,270.2594392,-3209.96,-0.80,7942.19,1.98,-6983.25,-1.75,-29436.88,-0.59
11,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004044,270.2346384,-2384.12,-0.59,8787.88,2.20,-6167.14,-1.54,-31621.03,-0.63
11,매수 진입,2026-02-18 23:48:00,ICE_L_1673,66823.6,0.004044,270.2346384,-2384.12,-0.59,8787.88,2.20,-6167.14,-1.54,-31621.03,-0.63
12,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004052,270.2242332,-1579.67,-0.39,9612.26,2.40,-5372.34,-1.34,-33000.73,-0.66
12,매수 진입,2026-02-18 23:49:30,ICE_L_146,66689.1,0.004052,270.2242332,-1579.67,-0.39,9612.26,2.40,-5372.34,-1.34,-33000.73,-0.66
13,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.00406,270.2133,-774.42,-0.19,0,0.00,-4576.77,-1.14,-33575.2,-0.67
13,매수 진입,2026-02-19 03:42:30,ICE_L_1658,66555,0.00406,270.2133,-774.42,-0.19,0,0.00,-4576.77,-1.14,-33575.2,-0.67
14,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004063,270.2114402,-475.78,-0.12,285.31,0.07,-4281.74,-1.07,-33851.02,-0.68
14,매수 진입,2026-02-19 03:42:30,ICE_L_190,66505.4,0.004063,270.2114402,-475.78,-0.12,285.31,0.07,-4281.74,-1.07,-33851.02,-0.68
15,매수 청산,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004083,270.204774,1506.64,0.38,2266.13,0.57,-2323.41,-0.58,-32144.44,-0.64
15,매수 진입,2026-02-19 03:46:00,ICE_L_1945,66178,0.004083,270.204774,1506.64,0.38,2266.13,0.57,-2323.41,-0.58,-32144.44,-0.64
16,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.004053,269.4957237,242.75,0.06,883.27,0.22,-4994.85,-1.25,-33301.54,-0.67
16,매도 진입,2026-02-19 09:07:00,ICE_S_2573,66492.9,0.004053,269.4957237,242.75,0.06,883.27,0.22,-4994.85,-1.25,-33301.54,-0.67
17,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.004045,269.5405975,1097.84,0.27,1297.09,0.32,-4129.42,-1.03,-32003.7,-0.64
17,매도 진입,2026-02-19 10:12:30,ICE_S_2976,66635.5,0.004045,269.5405975,1097.84,0.27,1297.09,0.32,-4129.42,-1.03,-32003.7,-0.64
18,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.004027,269.5259019,2850.24,0.71,3048.6,0.76,-2353.76,-0.59,-28953.47,-0.58
18,매도 진입,2026-02-19 11:24:00,ICE_S_3018,66929.7,0.004027,269.5259019,2850.24,0.71,3048.6,0.76,-2353.76,-0.59,-28953.47,-0.58
19,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.004017,269.5109742,3813.76,0.95,4011.63,1.00,-1377.32,-0.34,-24939.74,-0.50
19,매도 진입,2026-02-19 15:19:00,ICE_S_3634,67092.6,0.004017,269.5109742,3813.76,0.95,4011.63,1.00,-1377.32,-0.34,-24939.74,-0.50
20,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.004012,269.5129204,4309.48,1.08,4507.1,1.13,-875.14,-0.22,-20430.28,-0.41
20,매도 진입,2026-02-19 15:21:30,ICE_S_3282,67176.7,0.004012,269.5129204,4309.48,1.08,4507.1,1.13,-875.14,-0.22,-20430.28,-0.41
21,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.00401,269.502476,4491.12,1.12,4688.64,1.17,-690.92,-0.17,-15739.19,-0.31
21,매도 진입,2026-02-19 15:31:30,ICE_S_3616,67207.6,0.00401,269.502476,4491.12,1.12,4688.64,1.17,-690.92,-0.17,-15739.19,-0.31
22,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.00401,269.516912,4512.53,1.13,4710.06,1.18,-669.5,-0.17,-11026.68,-0.22
22,매도 진입,2026-02-19 15:31:30,ICE_S_3251,67211.2,0.00401,269.516912,4512.53,1.13,4710.06,1.18,-669.5,-0.17,-11026.68,-0.22
23,매도 청산,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.004005,269.491644,4967.88,1.24,5165.16,1.29,-207.69,-0.05,-5858.84,-0.12
23,매도 진입,2026-02-19 15:31:30,ICE_S_3371,67288.8,0.004005,269.491644,4967.88,1.24,5165.16,1.29,-207.69,-0.05,-5858.84,-0.12
24,매수 청산,2026-02-20 02:17:30,ICE_S_4884,66876.9,0.00406,269.527566,2555.63,0.64,2757.1,0.69,-4936.27,-1.23,-5688.1,-0.11
24,매수 진입,2026-02-19 21:04:00,ICE_L_3212,66386.1,0.00406,269.527566,2555.63,0.64,2757.1,0.69,-4936.27,-1.23,-5688.1,-0.11
25,매수 청산,2026-02-20 02:17:30,ICE_S_4884,66876.9,0.036239,2405.577435,23091.01,0.65,24889.29,0.70,-43780.71,-1.23,19187.85,0.38
25,매수 진입,2026-02-19 21:04:00,ICE_L_3908,66380.9,0.036239,2405.577435,23091.01,0.65,24889.29,0.70,-43780.71,-1.23,19187.85,0.38
