거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
1,매수 청산,2026-02-16 13:18:00,S_427,68669.4,0.009,618.2037,-1183.07,-0.13,3804.53,0.41,-8023.55,-0.87,-1640.67,-0.03
1,매수 진입,2026-02-16 09:45:00,L_30,68689.3,0.009,618.2037,-1183.07,-0.13,3804.53,0.41,-8023.55,-0.87,-1640.67,-0.03
2,매수 청산,2026-02-16 13:18:00,S_427,68669.4,0.009,616.7133,1029.79,0.11,1981.2,0.22,-5810.69,-0.63,-153.27,0.00
2,매수 진입,2026-02-16 10:35:30,L_37,68523.7,0.009,616.7133,1029.79,0.11,1981.2,0.22,-5810.69,-0.63,-153.27,0.00
3,매도 청산,2026-02-16 14:37:00,L_593,68349.7,0.009,618.0246,3354.9,0.37,3811.34,0.42,-3124.43,-0.34,3201.63,0.06
3,매도 진입,2026-02-16 13:18:00,S_427,68669.4,0.009,618.0246,3354.9,0.37,3811.34,0.42,-3124.43,-0.34,3201.63,0.06
4,매수 청산,2026-02-16 21:26:00,S_178,69221.8,0.009,615.1473,10729.07,1.17,11191.33,1.23,-2455.83,-0.27,13475,0.27
4,매수 진입,2026-02-16 14:37:00,L_593,68349.7,0.009,615.1473,10729.07,1.17,11191.33,1.23,-2455.83,-0.27,13475,0.27
5,매수 청산,2026-02-16 21:26:00,S_178,69221.8,0.009,614.142,12221.68,1.34,12683.94,1.39,-963.22,-0.11,26152.37,0.52
5,매수 진입,2026-02-16 15:20:00,L_501,68238,0.009,614.142,12221.68,1.34,12683.94,1.39,-963.22,-0.11,26152.37,0.52
6,매도 청산,2026-02-16 22:38:00,L_1461,68415.1,0.009,622.9962,9855.15,1.07,10312.02,1.11,-12043.25,-1.30,34618.99,0.69
6,매도 진입,2026-02-16 21:26:00,S_178,69221.8,0.009,622.9962,9855.15,1.07,10312.02,1.11,-12043.25,-1.30,34618.99,0.69
7,매도 청산,2026-02-16 22:38:00,L_1461,68415.1,0.027,1871.3295,33037.6,1.19,34408.23,1.24,-32657.59,-1.18,69045.11,1.38
7,매도 진입,2026-02-16 21:26:00,S_1255,69308.5,0.027,1871.3295,33037.6,1.19,34408.23,1.24,-32657.59,-1.18,69045.11,1.38
8,매수 청산,2026-02-17 03:07:30,S_1887,68041,0.009,615.7359,-5907.73,-0.65,3153.25,0.34,-16186.24,-1.77,63137.38,1.26
8,매수 진입,2026-02-16 22:38:00,L_1461,68415.1,0.009,615.7359,-5907.73,-0.65,3153.25,0.34,-16186.24,-1.77,63137.38,1.26
9,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.009,612.369,-7111.59,-0.78,3014.18,0.33,-13578.11,-1.50,54655,1.09
9,매도 진입,2026-02-17 03:07:30,S_1887,68041,0.009,612.369,-7111.59,-0.78,3014.18,0.33,-13578.11,-1.50,54655,1.09
10,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.009,613.2924,-5744.72,-0.63,572.01,0.06,-12211.24,-1.34,49365.35,0.99
10,매도 진입,2026-02-17 05:27:30,S_2415,68143.6,0.009,613.2924,-5744.72,-0.63,572.01,0.06,-12211.24,-1.34,49365.35,0.99
11,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.009,614.5083,-3944.87,-0.43,0,0.00,-10411.4,-1.14,45876.44,0.92
11,매도 진입,2026-02-17 05:52:00,S_2077,68278.7,0.009,614.5083,-3944.87,-0.43,0,0.00,-10411.4,-1.14,45876.44,0.92
12,매도 청산,2026-02-17 11:02:00,L_2873,68506.2,0.009,619.623,3626.2,0.39,4544.73,0.49,-2840.32,-0.31,49962.4,1.00
12,매도 진입,2026-02-17 06:58:00,S_1842,68847,0.009,619.623,3626.2,0.39,4544.73,0.49,-2840.32,-0.31,49962.4,1.00
13,매수 청산,2026-02-17 16:37:30,S_3786,68322.9,0.009,616.5558,-3355.1,-0.37,9273.61,1.02,-9116.41,-1.00,46150.95,0.92
13,매수 진입,2026-02-17 11:02:00,L_2873,68506.2,0.009,616.5558,-3355.1,-0.37,9273.61,1.02,-9116.41,-1.00,46150.95,0.92
14,매수 청산,2026-02-17 16:37:30,S_3786,68322.9,0.009,616.2741,-2937.7,-0.32,9691.02,1.06,-8699,-0.95,43669.6,0.87
14,매수 진입,2026-02-17 11:02:30,L_2866,68474.9,0.009,616.2741,-2937.7,-0.32,9691.02,1.06,-8699,-0.95,43669.6,0.87
15,매도 청산,2026-02-17 19:16:30,L_2123,67780.3,0.009,614.9061,6325.26,0.69,6776.98,0.74,-2188.11,-0.24,49994.86,1.00
15,매도 진입,2026-02-17 16:37:30,S_3786,68322.9,0.009,614.9061,6325.26,0.69,6776.98,0.74,-2188.11,-0.24,49994.86,1.00
16,매수 청산,2026-02-18 01:02:00,S_4664,67765.8,0.009,610.0227,-1096.62,-0.12,6915.22,0.77,-16637.13,-1.84,47998.21,0.96
16,매수 진입,2026-02-17 19:16:30,L_2123,67780.3,0.009,610.0227,-1096.62,-0.12,6915.22,0.77,-16637.13,-1.84,47998.21,0.96
17,매수 청산,2026-02-18 01:02:00,S_4664,67765.8,0.009,608.9571,482.33,0.05,8494.16,0.94,-15058.18,-1.67,48931.47,0.98
17,매수 진입,2026-02-17 20:08:00,L_2488,67661.9,0.009,608.9571,482.33,0.05,8494.16,0.94,-15058.18,-1.67,48931.47,0.98
