거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
1,매도 청산,2026-02-18 14:29:30,L_645,67678.6,0.004,269.5772,-2082.87,-0.52,749.49,0.19,-3193.23,-0.80,-2482.41,-0.05
1,매도 진입,2026-02-18 11:37:00,S_190,67394.3,0.004,269.5772,-2082.87,-0.52,749.49,0.19,-3193.23,-0.80,-2482.41,-0.05
2,매도 청산,2026-02-18 14:29:30,L_645,67678.6,0.004,269.9552,-1523.71,-0.38,30.52,0.01,-2634.07,-0.66,-3806.36,-0.08
2,매도 진입,2026-02-18 12:27:00,S_146,67488.8,0.004,269.9552,-1523.71,-0.38,30.52,0.01,-2634.07,-0.66,-3806.36,-0.08
3,매도 청산,2026-02-18 14:29:30,L_645,67678.6,0.004,269.9664,-1507.14,-0.38,47.09,0.01,-2617.5,-0.65,-5113.73,-0.10
3,매도 진입,2026-02-18 12:27:00,S_105,67491.6,0.004,269.9664,-1507.14,-0.38,47.09,0.01,-2617.5,-0.65,-5113.73,-0.10
4,매수 청산,2026-02-18 15:43:30,S_696,67889,0.004,270.7144,844.29,0.21,1045.24,0.26,-894.74,-0.22,-4269.44,-0.09
4,매수 진입,2026-02-18 14:29:30,L_645,67678.6,0.004,270.7144,844.29,0.21,1045.24,0.26,-894.74,-0.22,-4269.44,-0.09
5,매도 청산,2026-02-18 20:08:30,L_779,67258.5,0.004,271.556,3332.52,0.83,3531.61,0.88,-3445.11,-0.86,-1341.09,-0.03
5,매도 진입,2026-02-18 15:43:30,S_696,67889,0.004,271.556,3332.52,0.83,3531.61,0.88,-3445.11,-0.86,-1341.09,-0.03
6,매도 청산,2026-02-18 20:08:30,L_779,67258.5,0.004,272.52,4758.53,1.18,4957.62,1.23,-2019.1,-0.50,3619.11,0.07
6,매도 진입,2026-02-18 16:47:00,S_868,68130,0.004,272.52,4758.53,1.18,4957.62,1.23,-2019.1,-0.50,3619.11,0.07
7,매도 청산,2026-02-18 20:08:30,L_779,67258.5,0.004,273.6592,6443.7,1.59,6642.79,1.64,-333.93,-0.08,10265.32,0.21
7,매도 진입,2026-02-18 17:18:30,S_671,68414.8,0.004,273.6592,6443.7,1.59,6642.79,1.64,-333.93,-0.08,10265.32,0.21
8,매수 청산,2026-02-19 00:02:00,S_1673,67408.1,0.004,269.034,487.02,0.12,2237.59,0.56,-3615.52,-0.91,10354.51,0.21
8,매수 진입,2026-02-18 20:08:30,L_779,67258.5,0.004,269.034,487.02,0.12,2237.59,0.56,-3615.52,-0.91,10354.51,0.21
9,매수 청산,2026-02-19 00:02:00,S_1673,67408.1,0.004,268.8492,760.66,0.19,2511.23,0.63,-3341.88,-0.84,11314.12,0.23
9,매수 진입,2026-02-18 20:09:00,L_941,67212.3,0.004,268.8492,760.66,0.19,2511.23,0.63,-3341.88,-0.84,11314.12,0.23
10,매수 청산,2026-02-19 00:02:00,S_1673,67408.1,0.004,268.7544,901.03,0.23,2651.6,0.67,-3201.5,-0.80,12414.03,0.25
10,매수 진입,2026-02-18 20:09:00,L_439,67188.6,0.004,268.7544,901.03,0.23,2651.6,0.67,-3201.5,-0.80,12414.03,0.25
11,매도 청산,2026-02-19 17:32:30,L_3634,66765.6,0.004,269.6324,3416.19,0.85,9162.95,2.30,-5629.35,-1.41,14829.61,0.30
11,매도 진입,2026-02-19 00:02:00,S_1673,67408.1,0.004,269.6324,3416.19,0.85,9162.95,2.30,-5629.35,-1.41,14829.61,0.30
12,매도 청산,2026-02-19 17:32:30,L_3634,66765.6,0.004,270.8976,5292.81,1.32,11034.51,2.75,-3757.79,-0.94,20322.89,0.41
12,매도 진입,2026-02-19 00:37:00,S_1644,67724.4,0.004,270.8976,5292.81,1.32,11034.51,2.75,-3757.79,-0.94,20322.89,0.41
13,매도 청산,2026-02-19 17:32:30,L_3634,66765.6,0.004,271.5776,6301.43,1.56,12040.41,2.99,-2751.9,-0.68,26825.29,0.54
13,매도 진입,2026-02-19 00:37:30,S_1658,67894.4,0.004,271.5776,6301.43,1.56,12040.41,2.99,-2751.9,-0.68,26825.29,0.54
14,매도 청산,2026-02-19 17:32:30,L_3634,66765.6,0.004,272.8736,8223.73,2.03,13957.53,3.45,-834.77,-0.21,35250.95,0.71
14,매도 진입,2026-02-19 00:40:30,S_1253,68218.4,0.004,272.8736,8223.73,2.03,13957.53,3.45,-834.77,-0.21,35250.95,0.71
15,매도 청산,2026-02-19 17:32:30,L_3634,66765.6,0.004,267.4972,248.6,0.06,1352.59,0.34,-2666.67,-0.67,35698.03,0.71
15,매도 진입,2026-02-19 11:17:00,S_2634,66874.3,0.004,267.4972,248.6,0.06,1352.59,0.34,-2666.67,-0.67,35698.03,0.71
16,매도 청산,2026-02-19 17:32:30,L_3634,66765.6,0.004,267.8796,815.8,0.21,1698.38,0.43,-2099.47,-0.53,36712.59,0.73
16,매도 진입,2026-02-19 12:59:00,S_3212,66969.9,0.004,267.8796,815.8,0.21,1698.38,0.43,-2099.47,-0.53,36712.59,0.73
17,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,267.0624,-2375.58,-0.60,2146.56,0.54,-7117.16,-1.79,32959.33,0.66
17,매수 진입,2026-02-19 17:32:30,L_3634,66765.6,0.004,267.0624,-2375.58,-0.60,2146.56,0.54,-7117.16,-1.79,32959.33,0.66
18,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,266.404,-1398.03,-0.35,188.17,0.05,-6139.61,-1.55,31758.98,0.64
18,매수 진입,2026-02-19 20:50:00,L_3371,66601,0.004,266.404,-1398.03,-0.35,188.17,0.05,-6139.61,-1.55,31758.98,0.64
19,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,266.2196,-1124.24,-0.28,461.95,0.12,-5865.82,-1.48,30832.27,0.62
19,매수 진입,2026-02-19 20:50:00,L_3616,66554.9,0.004,266.2196,-1124.24,-0.28,461.95,0.12,-5865.82,-1.48,30832.27,0.62
20,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,265.6228,-238.15,-0.06,1348.05,0.34,-4979.73,-1.26,30791.22,0.62
20,매수 진입,2026-02-19 21:04:00,L_3282,66405.7,0.004,265.6228,-238.15,-0.06,1348.05,0.34,-4979.73,-1.26,30791.22,0.62
21,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,265.298,244.1,0.06,1830.29,0.46,-4497.48,-1.14,31232.17,0.62
21,매수 진입,2026-02-19 21:06:00,L_2976,66324.5,0.004,265.298,244.1,0.06,1830.29,0.46,-4497.48,-1.14,31232.17,0.62
22,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,264.8336,933.61,0.24,1130.78,0.29,-3807.97,-0.97,32362.29,0.65
22,매수 진입,2026-02-19 22:06:00,L_3251,66208.4,0.004,264.8336,933.61,0.24,1130.78,0.29,-3807.97,-0.97,32362.29,0.65
23,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,264.3284,1683.7,0.43,1880.87,0.48,-3057.88,-0.78,34242.13,0.68
23,매수 진입,2026-02-19 22:39:00,L_2573,66082.1,0.004,264.3284,1683.7,0.43,1880.87,0.48,-3057.88,-0.78,34242.13,0.68
24,매수 청산,2026-02-19 23:51:30,S_4534,66432,0.004,264.0096,2157.04,0.55,2354.21,0.60,-2584.54,-0.66,36595.06,0.73
